German,English
verbrechen,crime
krank,sick
drehen,turn
krank,sick
Befehl,command
interessiert,interested
Telefon,phone
hübsch,pretty
hierher,here
irgendwas,something
zuerst,first
verletzt,injured
bereits,already
gestohlen,stolen
tanzen,dance
außer,except
opfer,victim
Hölle,hell
Arzt,Physician
Straße,Street
erledigt,completed
direkt,direct
Doktor,doctor
froh,glad
großartig,great
steig,climb
sondern,rather
Fehler,Mistake
hängt,hangs
schwarze,black
erfahren,experience
schießen,shoot
willkommen,welcome
ließ,let
besorgt,worried
vorstellen,introduce
kaum,barely
Millionen,millions
klappe,flap
erkennen,recognize
hängt,hangs
Sekunden,seconds
sechs,six
opfer,victim
Kumpel,buddy
stück,piece
Geschäft,Business
Mord,murder
zehn,ten
Büro,Office
wert,value
acht,eight
Idiot,idiot
Aufgabe,Task
himmel,heaven
ehre,honor
fehlt,missing
bauen,build
vermisst,missing
halb,half
zweite,second
überall,everywhere
laden,load
ansehen,view
vermisst,missing
küssen,kiss
licht,light
perfekt,perfect
völlig,fully
zerstört,destroyed
still,quiet
hm,Hm
erde,earth
bieten,offer
schwierig,difficult
weh,sore
schade,too bad
person,person
Luft,Air
angriff,attack
behalten,keep
cool,cool
licht,light
druck,pressure
raten,guess
Foto,photo
tief,deep
i,i
normal,normal
wunder,wonder
angriff,attack
normal,normal
schwöre,swear
schrecklich,terrible
deswegen,because of this
danach,thereafter
träume,dreams
total,total
spannende,exciting
sinn,sense
lustig,funny
erschossen,shot
melden,report
schade,too bad
regeln,regulate
ziel,goal
stören,disturb
überleben,survive
Körper,Body
treten,step
überleben,survive
Kaffee,Coffee
gefährlich,dangerous
erreichen,to reach
wow,Wow
beruhigen,calm
Wind,wind
links,left
raum,space
übernehmen,take over
guck,look
blöd,stupid
fassen,grasp
Party,party
Onkel,Uncle
selber,himself
nochmal,again
nachdem,after
Rest,rest
wahl,choice
komisch,funny
Leiche,Corpse
kostet,costs
himmel,heaven
guck,look
Witz,Joke
Sam,Sam
drüben,over
rot,red
persönlich,personal
deutsche,German
übernehmen,take over
weise,way
irgendwo,somewhere
haare,hair
Beine,Legs
Pferd,Horse
tja,well
genauso,just as
wunderbar,wonderful
Schlüssel,Key
Krankenhaus,hospital
vorsichtig,cautious
damals,at that time
zwar,that is
verzeihen,pardon
beeil,hurry
Gefängnis,Jail
unglaublich,incredible
ärger,aggravation
kraft,power
seltsam,strange
Wohnung,Apartment
heilige,holy
kalt,cold
antworten,answer
stolz,proud
Boss,boss
Arschloch,asshole
Zukunft,Future
Geist,Spirit
irgendeine,any
nachgedacht,thought about
bekannt,known
merken,remember
rolle,role
o,O
Mund,mouth
Entscheidung,Decision
gedanken,thoughts
offen,open
wovon,of which
fürchte,fear
nähe,vicinity
karte,map
schließen,close
Boden,Floor
Mörder,Murderer
sobald,as soon as
schmerz,pain
Mist,crap
Michael,Michael
super,super
irre,crazy
muß,must
schmerz,pain
außerdem,aside from that
klasse,class
Schluss,Ending
Angebot,Offer
beschützen,protect
besteht,consists
schloss,lock
interessant,interesting
bericht,report
stopp,stop
klasse,class
interessant,interesting
solange,as long as
Charlie,Charlie
entfernt,removed
Sicherheit,Security
Gäste,Guests
eher,rather
verändert,changed
erwischt,caught
jemals,ever
besonders,particularly
eher,rather
küssen,kiss
Brief,letter
verlangt,required
aufgenommen,recorded
Agent,agent
wenigstens,at least
wette,bet
absolut,absolutely
verlangt,required
Lady,lady
unmöglich,impossible
Liebling,Darling
Informationen,information
nötig,necessary
a,a
traurig,sad
heraus,out of here
Tiere,Animals
Geheimnis,Secret
mitnehmen,take along
sieben,seven
nutzen,to use
rennen,run
sieben,seven
Meinung,Opinion
Vogel,Bird
verwenden,use
Präsident,president
punkt,point
hinten,rear
bieten,offer
besitz,possession
Soldaten,soldiers
Hotel,hotel
fick,fuck
dunkel,dark
tisch,table
Zug,Train
plötzlich,suddenly
schützen,protect
verheiratet,married
wunderschön,beautiful
aufhalten,stop
frank,frank
verliebt,in love
tisch,table
Handy,cell phone
zählt,counts
Kleid,Dress
schnappen,grab
griff,handle
treiben,to drive
Bewegung,Movement
riecht,smells
überlegen,superior
springen,jump
vorher,previously
gewissen,conscience
erhalten,receive
Verzeihung,forgiveness
beenden,finish
tatsächlich,actually
dienst,service
treiben,to drive
verfolgt,pursued
Anwalt,Attorney
York,York
Peter,Peter
Geschenk,Gift
Streit,Fight
blick,view
feind,enemy
bescheid,notice
verfolgt,pursued
feiern,celebrate
Seele,Soul
schritt,step
Möglichkeit,Possibility
verraten,betrayed
überprüfen,check
Fenster,Window
besonderes,special
fort,continued
überrascht,surprised
verhaftet,arrested
erlaubt,allowed
wütend,angry
augenblick,moment
zurückkommen,come back
spüren,sense
kochen,cook
Tasche,Bag
packen,pack
Beziehung,Relationship
Chef,boss
schwach,weak
Polizist,policeman
wählen,choose
obwohl,although
spur,track
band,band
kennenzulernen,to get to know
rauchen,smoke
handeln,act
verpasst,missed
preis,price
angetan,impressed
aufgeben,give up
Test,test
behandelt,treated
dagegen,against it
gezwungen,forced
preis,price
verpasst,missed
dringend,urgent
verbunden,tied together
rum,rum
rauchen,smoke
Max,Max
Boot,boat
rücken,back
befehle,commands
dringend,urgent
Schwein,Pig
ständig,constant
überzeugt,convinced
Bier,Beer
aufwachen,wake up
leer,empty
atmen,breathe
schwach,weak
willen,sake
unterwegs,on the way
Verbindung,Connection
jagen,hunting
aufgenommen,recorded
Eier,eggs
zuhause,at home
landen,land
schnitt,cut
partner,partner
Gesetz,Law
Hochzeit,Wedding
betrogen,cheated
ewig,forever
Weiss,White
naja,Oh well
Frieden,Peace
herum,around
angenommen,assumed
fremden,strangers
geboren,born
rüber,over
David,David
manche,some
Richtung,Direction
müde,tired
irgendetwas,anything
reiß,tear
Paris,Paris
gemeinsam,together
sauber,clean
verwenden,use
Unfall,Accident
Volk,People
Flugzeug,Airplane
beschäftigt,busy
herkommen,come here
Schuss,shot
ermordet,murdered
geschenkt,gifted
manche,some
mitten,middle
aufgeregt,upset
lösen,solve
derjenige,the one
nutzen,to use
Firma,company
blau,blue
wirkt,works
erwachsen,adult
Beispiel,Example
ring,ring
Ohren,ears
beobachtet,observed
wozu,for what reason
bar,bear
fisch,fish
Harry,Harry
verflucht,cursed
fressen,eat
Paul,Paul
Kontrolle,control
Berg,Mountain
Wald,Forest
getrennt,separated
furchtbar,terrible
leisten,afford
eingeladen,invited
ring,ring
kraft,power
links,left
liste,list
Vorsicht,Caution
Kamera,camera
Professor,professor
Computer,computer
frisch,fresh
aufpassen,watch out
Schuhe,Shoes
wild,wild
wofür,for what
Kontakt,contact
darin,in it
sonne,sun
leck,leak
dahin,there
decke,ceiling
Rose,rose
Bullen,Bulls
gold,gold
starten,start
Baum,Tree
menschliche,human
leck,leak
dick,thick
warm,warm
entspann,relax
dritte,third
irgendwann,sometime
ehe,before
Erinnerung,Memory
Mark,mark
jedenfalls,anyway
dick,thick
kaputt,broken
gefeuert,fired
hoffentlich,hopefully
Hoffnung,Hope
tschüss,bye
sowieso,anyway
liste,list
wand,wall
leise,quiet
unbedingt,absolutely
trauen,trust
zumindest,at least
Überraschung,Surprise
runde,round
bisher,until now
verbunden,tied together
heil,unhurt
Drogen,Drugs
Hunger,hunger
offensichtlich,apparently
gewarnt,warned
Held,hero
neben,next to
ergibt,results
gesund,healthy
nick,Nick
gesund,healthy
Patienten,patients
erwähnt,mentioned
sauer,sour
brennt,burns
Glas,Glass
Geburtstag,Birthday
Gericht,Court
nerven,annoy
angekommen,arrived
vergeben,forgive
entdeckt,discovered
Maschine,machine
übel,bad
mitgebracht,brought along
Regierung,Government
Henry,Henry
unterschied,difference
unschuldig,innocent
Schicksal,Fate
Armee,army
schlampe,slut
klingelt,rings
befindet,is located
Nase,Nose
lächeln,smile
angestellt,employed
Tante,aunt
Kirche,Church
betrunken,drunk
rechts,right
willen,sake
Hose,pants
verdächtigen,suspect
schuldig,guilty
Bord,board
Untertitel,Subtitles
Situation,situation
übrig,left over
fuß,foot
irgendwelche,any
park,park
unternehmen,company
erlebt,experienced
Lied,song
vorbereitet,prepared
ausgehen,go out
Stein,Stone
vermutlich,allegedly
erschießen,shoot
Gebäude,Building
Grad,degree
Alex,Alex
Majestät,majesty
diesmal,this time
vertrag,contract
Ehemann,Husband
ha,Ha
verantwortlich,responsible
stöhnt,moans
klopfen,knock
probieren,try out
grab,grave
erschossen,shot
regen,rain
Zeitung,Newspaper
Kugel,Bullet
geklaut,stolen
klug,smart
unternehmen,company
hinterlassen,leave behind
fantastisch,fantastic
witzig,funny
gegenüber,opposite
Ben,Ben
schmeckt,tastes
vergnügen,enjoyment
Show,show
verbrannt,burned
Gesellschaft,Company
miteinander,each other
regen,rain
aufstehen,stand up
Lust,Desire
verhalten,behave
Insel,Island
abholen,pick up
erfolg,success
Dorf,Village
abhauen,run away
Freude,Joy
grenze,border
ran,ran
nämlich,namely
beten,pray
aufgetaucht,appeared
beten,pray
loch,hole
Gruppe,group
grüß,greetings
fliehen,flee
grün,green
Zeichen,Sign
heim,home
Tee,tea
übrigens,by the way
bombe,bomb
gründe,reasons
loch,hole
eis,ice
quatsch,nonsense
nervös,nervous
soweit,as far as
indem,by
eis,ice
Blumen,Flowers
unterschreiben,sign
erfolg,success
aufstehen,stand up
Achtung,Danger
empfangen,received
erscheinen,appear
bemerkt,noticed
hals,neck
flucht,escape
kapiert,got it
namens,called
empfangen,received
Don,Don
Weihnachten,Christmas
Sarah,Sarah
Bob,bob
Vergangenheit,Past
entweder,either
heim,home
Sheriff,sheriff
geheim,secret
weder,neither
anziehen,put on 
jawohl,yes indeed
gast,guest
Gespräch,Conversation
ungefähr,approximately
hals,neck
entkommen,escape
zuvor,before
Position,position
Amerika,America
bestellt,ordered
geschossen,shot
verboten,forbidden
glückwunsch,congratulations
Königin,queen
Staaten,States
Adresse,address
Messer,Knife
Meer,sea
drinnen,inside
behauptet,claims
mitkommen,come along
herein,in
Prinzessin,princess
Güte,Quality
ernsthaft,seriously
Mission,mission
Flasche,Bottle
worauf,what
ähnlich,similar
genießen,enjoy
scherz,joke
aussage,expression
beeindruckt,impressed
befreien,free
vögel,birds
ball,ball
tausend,thousand
Katze,Cat
schwanger,pregnant
Monster,Monster
England,England
wiederhole,repeat
Schwanz,tail
Anna,Anna
Frühstück,Breakfast
Gegend,Area
Tor,Goal
fern,remote
post,post
benehmen,behavior
bestätigt,confirmed
kontrollieren,control
teuer,expensive
Mädels,Girls
Sterne,Stars
konzentrieren,focus
gilt,applies
akzeptieren,accept
gebissen,bitten
leiten,lead
hingehen,go there
Kunden,Customers
Brücke,Bridge
Hälfte,half
zurückkehren,return
lächerlich,ridiculous
Gehirn,Brain
vorne,in front
grüß,greetings
heben,lift
Küche,Kitchen
neun,nine
Zweifel,Doubt
stammt,comes from
sowas,like this
herzlichen,cordial
streiten,argue
begriff,expression
neun,nine
begleiten,accompany
anklage,accusation
Schwierigkeiten,Difficulties
untersuchen,investigate
reinkommen,come in
richten,direct
erschreckt,frightened
Freiheit,Freedom
Interesse,interest
Unsinn,nonsense
reiten,ride
sieg,victory
Prinz,prince
existiert,exists
verschiedene,different
pro,per
See,lake
Auftrag,Order
Respekt,respect
zufrieden,satisfied
hinterlassen,leave behind
rauskommen,come out
Oberst,Colonel
allerdings,however
erfüllt,fulfilled
unterhalten,entertain
Operation,operation
Vorschlag,Suggestion
riesige,huge
Richter,Judge
Abendessen,Dinner
London,London
enttäuscht,disappointed
wechseln,change
Deal,deal
statt,instead of
sieg,victory
Taxi,taxi
Cop,Cop
entführt,kidnapped
starten,start
worüber,about what
davor,before
fernsehen,TV
wochenende,weekend
englisch,English
entwickelt,developed
nachts,at night
zuhören,listen
Meter,meter
Martin,Martin
fett,fat
stich,engraving
Farbe,Color
waschen,wash
berichten,report
post,post
Schwert,sword
berührt,touched
anbieten,offer
schweigen,be silent
Zähne,Teeth
reparieren,repair
fein,fine
kollegen,colleagues
maul,mouth
scharf,sharp
amerikanische,American
Gang,corridor
komplett,completely
Fleisch,Meat
Maria,Mary
Energie,energy
Kilometer,kilometers
sorry,sorry
entlang,along
einverstanden,agreed
zufällig,randomly
gesamte,entire
maul,mouth
mitten,middle
vergehen,pass
ecke,corner
Erfahrung,Experience
irgendjemand,anyone
Gentlemen,Gentlemen
Neuigkeiten,news
beschissen,shitty
hexe,witch
reiß,tear
wundervoll,wonderful
stammt,comes from
Sergeant,sergeant
Club,Club
umgehen,evade
anhalten,stop
betrifft,regards
aha,Aha
ruiniert,ruined
schließlich,finally
zustand,condition
Gelegenheit,Opportunity
Risiko,risk
schlau,clever
au,ouch
merkwürdig,unusual
vernichten,destroy
betrifft,regards
Flug,Flight
verarschen,fool
überlassen,leave
Fluss,Flow
übersetzt,translated
riskieren,risk
Daniel,Daniel
Engel,angel
wahnsinnig,insane
beigebracht,taught
au,ouch
Schätzchen,baby
Fräulein,miss
besprechen,discuss
blind,blind
nachmittag,afternoon
Dach,Roof
form,form
liefern,delivery
Haufen,heap
Mut,courage
unterstützen,support
Lehrer,Teacher
Szene,scene
daher,therefore
offenbar,apparently
wechseln,change
französisch,French
linken,left
nee,no
zulassen,allow
vorwärts,forward
überlassen,leave
Oma,granny
Tony,Tony
beantworten,answer
Trick,trick
studiert,studied
berühmt,famous
Kurs,Course
hinaus,beyond
albern,silly
Thomas,Thomas
Richard,Richard
freundlich,friendly
Sommer,Summer
Brust,Breast
reihe,row
Ausdruck,Expression
ertragen,bear
angeht,concerning
einsam,lonely
worum,what
kehren,return
Mistkerl,bastard
Einheit,Unit
pfeift,whistles
mächtig,powerful
fair,fair
Meilen,miles
abgeschlossen,completed
Robert,Robert
Zeitpunkt,time
braut,bride
langweilig,boring
verwandelt,transformed
stürzen,fall
weich,soft
schwul,gay
hure,whore
Lord,lord
schalten,switch
weich,soft
Lösung,Solution
verhindern,impede
Keller,cellar
verantwortung,responsibility
Daten,Data
Hinweis,Notice
Walter,Walter
Mami,Mommy
Thema,Theme
sammeln,collect
Unterricht,Instruction
Lager,warehouse
Wahnsinn,Craziness
hundert,hundred
lehren,teach
Restaurant,restaurant
gewöhnt,used
Pflicht,Duty
Mond,moon
informiert,informed
gestoßen,encountered
überfallen,attacked
Date,Date
vollkommen,completely
Robin,Robin
wehtun,hurt
pause,pause
prima,great
senden,send
rauf,up
Strand,Beach
begegnet,met
berge,mountains
klären,clear up
Bobby,Bobby
Nachbarn,Neighbors
dorthin,there
Zufall,Coincidence
Großvater,grandfather
anfassen,touch
sparen,save
rührt,stirs
anfassen,touch
vermute,suspect
Hintern,butt
begangen,committed
jene,those
wecken,wake up
Koffer,Suitcase
,
